21.3	2
21.3	2.5
21.3	3
26.9	2
26.9	2.5
26.9	3
30	3
33.7	2
33.7	2.5
33.7	3
40	3
42.4	2
42.4	2.5
42.4	3
42.4	4
45	3
48.3	2
48.3	2.5
48.3	3
48.3	4
48.3	5
50	3
50	4
55	3
55	4
57	3
57	4
60.3	2
60.3	2.5
60.3	3
60.3	4
60.3	5
63	3
63	4
70	3
70	4
76.1	2
76.1	2.5
76.1	3
76.1	4
76.1	5
76.1	6
76.1	6.3
80	3
80	4
80	5
80	6
83	3
83	4
88.9	2
88.9	2.5
88.9	3
88.9	4
88.9	5
88.9	6
88.9	6.3
90	3
90	4
95	3
95	4
100	3
100	4
100	5
100	6
100	7
100	8
101.6	2
101.6	2.5
101.6	3
101.6	4
101.6	5
101.6	6
101.6	6.3
108	3
108	4
110	3
110	4
113	3
113	4
113	5
113	6
114.3	2.5
114.3	3
114.3	4
114.3	5
114.3	6
114.3	6.3
114.3	7
114.3	8
120	3
120	4
125	3
125	4
125	5
125	6
125	7
125	8
127	3
127	4
133	3
133	4
133	5
133	6
139.7	3
139.7	4
139.7	5
139.7	6
139.7	6.3
139.7	7
139.7	8
139.7	10
152	3
152	4
152	5
152	6
152.4	3
152.4	4
152.4	5
152.4	6
159	3
159	4
159	5
159	6
159	7
159	8
164	3
164	4
168.3	3
168.3	4
168.3	5
168.3	6
168.3	6.3
168.3	7
168.3	8
168.3	10
177.8	3
177.8	4
177.8	5
177.8	6
177.8	6.3
177.8	7
177.8	8
177.8	10
177.8	12
177.8	12.5
193.7	3
193.7	4
193.7	5
193.7	6
193.7	6.3
193.7	7
193.7	8
193.7	10
193.7	12
193.7	12.5
200	3
200	4
200	5
200	6
200	7
200	8
219.1	3
219.1	4
219.1	5
219.1	6
219.1	6.3
219.1	7
219.1	8
219.1	10
219.1	12
219.1	12.5
244.5	4
244.5	5
244.5	6
244.5	6.3
244.5	7
244.5	8
244.5	10
244.5	12
244.5	12.5
273	4
273	5
273	6
273	6.3
273	7
273	8
273	10
273	12
273	12.5
323.9	4
323.9	5
323.9	6
323.9	6.3
323.9	7
323.9	8
323.9	10
323.9	12
323.9	12.5
